时间,收盘价,代码,成交量,成交笔数,收益率,净价,全价
2018-05-11,100.5368,130309.IB,0.0,,3.909788846969605,100.5368,0
2018-05-14,100.5368,130309.IB,0.0,,3.90975022315979,100.5368,0
2018-05-15,100.5368,130309.IB,0.0,,3.9097378253936768,100.5368,0
2018-05-16,100.5368,130309.IB,0.0,,3.9097259044647217,100.5368,0
2018-05-17,100.5368,130309.IB,0.0,,3.9096193313598633,100.5368,0
2018-05-18,100.5368,130309.IB,0.0,,3.909512996673584,100.5368,0
2018-05-21,100.5368,130309.IB,0.0,,3.9091947078704834,100.5368,0
2018-05-22,100.5368,130309.IB,0.0,,3.909089088439941,100.5368,0
2018-05-23,100.5368,130309.IB,0.0,,3.9089834690094,100.5368,0
2018-05-24,100.5368,130309.IB,0.0,,3.9088778495788574,100.5368,0
2018-05-25,100.5368,130309.IB,0.0,,3.9087727069854736,100.5368,0
2018-05-28,100.5368,130309.IB,0.0,,3.908457517623901,100.5368,0
2018-05-29,100.5368,130309.IB,0.0,,3.908352851867676,100.5368,0
2018-05-30,100.5368,130309.IB,0.0,,3.90824818611145,100.5368,0
2018-05-31,100.5368,130309.IB,0.0,,3.908143758773804,100.5368,0
2018-06-01,100.5368,130309.IB,0.0,,3.908039569854736,100.5368,0
2018-06-04,100.5368,130309.IB,0.0,,3.907727479934693,100.5368,0
2018-06-05,100.5368,130309.IB,0.0,,3.907623767852783,100.5368,0
2018-06-06,100.5368,130309.IB,0.0,,3.907520294189453,100.5368,0
2018-06-07,100.5368,130309.IB,0.0,,3.907416820526123,100.5368,0
2018-06-08,100.5368,130309.IB,0.0,,3.907313585281372,100.5368,0
2018-06-11,100.5368,130309.IB,0.0,,3.907004594802856,100.5368,0
2018-06-12,100.5368,130309.IB,0.0,,3.9069020748138423,100.5368,0
2018-06-13,100.5368,130309.IB,0.0,,3.906799554824829,100.5368,0
2018-06-14,100.5368,130309.IB,0.0,,3.9066972732543945,100.5368,0
2018-06-15,100.5368,130309.IB,0.0,,3.90659499168396,100.5368,0
2018-06-19,100.5368,130309.IB,0.0,,3.9061877727508554,100.5368,0
2018-06-20,100.5368,130309.IB,0.0,,3.906086206436157,100.5368,0
2018-06-21,100.5368,130309.IB,0.0,,3.905984878540039,100.5368,0
2018-06-22,100.5368,130309.IB,0.0,,3.9058837890625,100.5368,0
2018-06-25,100.5368,130309.IB,0.0,,3.90558123588562,100.5368,0
2018-06-26,100.5368,130309.IB,0.0,,3.9054808616638175,100.5368,0
2018-06-27,100.5368,130309.IB,0.0,,3.9053802490234375,100.5368,0
